concept_code,concept_name,stock_count,avg_rank
886015.TI,创新药,4,128.5
886003.TI,钒电池,4,129.0
884071.TI,磨具磨料,4,135.0
884090.TI,分立器件,4,138.5
884185.TI,贵金属Ⅲ,4,141.0
885774.TI,无线充电,4,150.75
884193.TI,其他电子Ⅲ,4,151.0
885937.TI,培育钻石,4,163.75
884091.TI,半导体材料,4,166.0
884270.TI,综合环境治理,4,168.25
885551.TI,氟化工概念,4,171.0
885944.TI,动力电池回收,4,184.25
886010.TI,空气能热泵,4,198.0
884018.TI,油服工程,4,199.5
886020.TI,PET铜箔,4,206.0
885586.TI,职业教育,4,210.5
886031.TI,ChatGPT概念,4,220.5
885661.TI,医药电商,4,224.5
885883.TI,医疗废物处理,4,224.75
884202.TI,住宅开发,4,233.0
885386.TI,建筑节能,4,240.25
885874.TI,云游戏,4,245.0
885795.TI,国产航母,4,245.5
885428.TI,特钢概念,4,248.75
884054.TI,铜,4,288.75
885750.TI,特色小镇,4,303.75
884304.TI,逆变器,4,322.75
885876.TI,网红经济,3,68.33333333333333
884299.TI,定制家居,3,70.0
885982.TI,华为欧拉,3,95.0
884062.TI,其他建材,3,101.0
884068.TI,专业工程,3,107.33333333333333
884236.TI,包装,3,116.66666666666667
886011.TI,光热发电,3,130.66666666666666
886030.TI,成飞概念,3,156.66666666666666
884242.TI,医疗耗材,3,159.66666666666666
885888.TI,C2M概念,3,166.66666666666666
885849.TI,黑龙江自贸区,3,169.0
885771.TI,智能音箱,3,169.66666666666666
884286.TI,锂,3,172.66666666666666
884055.TI,铅锌,3,173.33333333333334
884056.TI,其他金属新材料,3,177.0
885882.TI,消毒剂,3,177.33333333333334
884095.TI,LED,3,178.33333333333334
885505.TI,生态农业,3,179.66666666666666
885652.TI,钛白粉概念,3,181.33333333333334
884269.TI,固废治理,3,182.66666666666666
884292.TI,其他汽车零部件,3,184.33333333333334
884213.TI,膜材料,3,211.33333333333334
885950.TI,虚拟数字人,3,211.33333333333334
885918.TI,快手概念,3,215.0
884231.TI,电子化学品Ⅲ,3,217.0
885615.TI,体育产业,3,219.0
885733.TI,航运概念,3,220.66666666666666
884295.TI,垂直应用软件,3,228.66666666666666
885603.TI,网络游戏,3,229.0
884096.TI,光学元件,3,238.33333333333334
885748.TI,可燃冰,3,239.33333333333334
884031.TI,钾肥,3,239.66666666666666
885555.TI,PM2.5,3,258.6666666666667
