股票代码,股票简称,最新价,最新涨跌幅,股票市场类型,区间涨跌幅:前复权[20250910-20260309],区间涨跌幅:前复权排名[20250910-20260309],market_code,code
601619.SH,嘉泽新能,6.64,-1.7751479289940846,a股,69.0,382/5493,17,601619
603232.SH,格尔软件,26.0,1.9607843137254901,a股,68.87417218543047,383/5493,17,603232
603993.SH,洛阳钼业,21.74,2.354048964218456,a股,68.83942766295706,384/5493,17,603993
000691.SZ,*ST亚太,8.6,2.3809523809523725,a股,68.67469879518072,385/5493,33,000691
300421.SZ,力星股份,26.67,3.4924330616996593,a股,68.541530412034,386/5493,33,300421
000612.SZ,焦作万方,14.35,-1.306740027510313,a股,68.48203939745073,387/5493,33,000612
600410.SH,华胜天成,31.83,4.326450344149448,a股,68.4704583103258,388/5493,17,600410
002851.SZ,麦格米特,129.27,7.109122545364166,a股,68.42031816913202,389/5493,33,002851
300970.SZ,华绿生物,25.56,4.7970479704796976,a股,68.32298136645963,390/5493,33,300970
300118.SZ,东方日升,20.15,6.332453825857517,a股,68.1455190771961,391/5493,33,300118
301396.SZ,宏景科技,116.26,1.7236853617989314,a股,68.12297734627832,392/5493,33,301396
002218.SZ,拓日新能,6.67,3.571428571428564,a股,67.70833333333334,393/5493,33,002218
603391.SH,力聚热能,73.08,1.9246861924686127,a股,67.56251460621641,394/5493,17,603391
688110.SH,东芯股份,151.8,1.8860326196389035,a股,67.47976618705039,395/5493,17,688110
000949.SZ,新乡化纤,7.59,9.999999999999991,a股,67.47572815533981,396/5493,33,000949
001326.SZ,联域股份,63.8,2.2927689594356258,a股,67.25663716814158,397/5493,33,001326
600595.SH,中孚实业,8.21,-4.645760743321703,a股,67.18446601941746,398/5493,17,600595
002448.SZ,中原内配,17.52,1.2131715771230553,a股,67.08494208494209,399/5493,33,002448
301235.SZ,华康洁净,54.13,2.4219489120151394,a股,66.87717082412378,400/5493,33,301235
